"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSMUSG00000027855",2.64026298961775,2.82030045247869,10.4520413044391,2.8218421959444e-10,4.91734221065272e-06,12.1068250743464
"ENSMUSG00000083773",2.59765962981434,5.79956975435018,7.91847147079388,4.62494142512258e-08,0.000268647430913954,8.65126557318802
"ENSMUSG00000057262",0.964523236963001,1.79886957954222,8.05492944633707,3.44015330157328e-08,0.000268647430913954,6.90836779304627
"ENSMUSG00000059674",0.733235424507614,3.65418173966464,7.49246245450786,1.18384621483448e-07,0.000458677408387591,7.52044355650692
"ENSMUSG00000041449",1.0912710726049,1.70413652290652,7.44514447481338,1.31607198550325e-07,0.000458677408387591,5.96579320883207
"ENSMUSG00000059040",0.680329746159826,3.92575390339627,7.28373932852979,1.89277731850815e-07,0.000549725625872051,7.15068308564005
"ENSMUSG00000028393",0.426784001044108,5.46589451687321,6.92826957547401,4.26451070770974e-07,0.000966748144703194,6.54064385347342
"ENSMUSG00000093880",2.02234966128281,4.6312461688591,6.88034689030016,4.76394076108423e-07,0.000966748144703194,6.37724808647205
"ENSMUSG00000031389",0.426339394702549,3.94676100103654,6.81464145542653,5.54773410250886e-07,0.000966748144703194,6.10493406368461
"ENSMUSG00000106539",-0.590201372076533,1.89535127303084,-6.8492397885384,5.11981393016694e-07,0.000966748144703194,5.27068910968725
"ENSMUSG00000082286",0.446202773217529,5.24585683159452,6.73304365890228,6.70797568184002e-07,0.00106266531119767,6.10417639068868
"ENSMUSG00000092444",1.50702044184245,1.77048191389574,6.45964818365221,1.27501430776448e-06,0.00185153327725865,4.19823971208735
"ENSMUSG00000072324",1.46646625263077,2.34496150309454,6.20807733332475,2.32041986990513e-06,0.00311043358868975,4.14482438054024
"ENSMUSG00000073647",0.243886963609244,4.91820332238186,5.89572159975914,4.92818476352644e-06,0.00613418197780084,4.21490489815558
"ENSMUSG00000109324",0.224111859019048,4.73237050776944,5.79827508150735,6.24647509230884e-06,0.00725673833057159,3.9889793822392
"ENSMUSG00000049123",1.01653632145354,2.26256536089661,5.66679005820968,8.61332439051094e-06,0.00938098692681522,3.13897469664607
"ENSMUSG00000051113",0.352836971445996,3.29586499905342,5.64168750922978,9.15986484008575e-06,0.00938940027666673,3.4867914729056
"ENSMUSG00000022620",0.277945500081019,4.50304517157964,5.54021896509979,1.17526042769579e-05,0.0102400441065135,3.39350376750081
"ENSMUSG00000084403",1.36886868470579,3.20044685972884,5.5617448656941,1.11464964895059e-05,0.0102400441065135,3.2373888922454
"ENSMUSG00000043719",0.684071096799239,2.61629787869609,5.54047252648054,1.17452736353442e-05,0.0102400441065135,3.02805544353234
"ENSMUSG00000020527",0.400686812712098,5.50386206604514,5.49353756177493,1.31844152515016e-05,0.0109405533415555,3.27442367849864
"ENSMUSG00000045106",-0.282448564588663,2.04861562739283,-5.46195483833026,1.42522432058578e-05,0.0112890722775126,2.83699319562619
"ENSMUSG00000095041",0.547222432746979,9.44692608105588,5.42639715625878,1.55597914502344e-05,0.0117889098179037,2.93051009818037
"ENSMUSG00000066553",0.448466650115013,4.54812817787162,5.40386607880132,1.64505717263144e-05,0.0119444859542815,3.08028512529699
"ENSMUSG00000022797",-0.193918877306187,7.46852999801099,-5.35071057914002,1.87623147813952e-05,0.0130780838952237,2.84626989874281
"ENSMUSG00000088025",1.64784210942525,7.48381754334521,5.31033035169726,2.07361252022266e-05,0.0136713608966489,2.75178085757055
"ENSMUSG00000098912",-0.813875773624653,1.25210294851508,-5.30173801708665,2.11825286473958e-05,0.0136713608966489,1.76810316297509
"ENSMUSG00000031342",-0.0963937143774568,9.64768807510773,-5.25319069416562,2.3893728207219e-05,0.0148704324192499,2.49941095235919
"ENSMUSG00000060093",0.445721292683902,2.64777047756743,5.20909744983792,2.6659423524338e-05,0.0160076118361596,2.37861938792342
"ENSMUSG00000091177",0.679949809238894,1.21031989347482,5.1957596422324,2.75581519043261e-05,0.0160076118361596,1.54689350196638
"ENSMUSG00000097300",-0.282275788251543,2.16649146621194,-5.17818048415352,2.87896110807129e-05,0.0161834762158872,2.32482903926218
"ENSMUSG00000060862",0.233281754167421,4.6291412958753,5.1033212267041,3.46877440945507e-05,0.0188896446434888,2.38262687895575
"ENSMUSG00000024212",0.275849486175455,4.9219639156085,5.06984353984613,3.77067185287438e-05,0.0194945056099816,2.29550234248635
"ENSMUSG00000024114",0.975206191158734,1.71694360420485,5.06635824510624,3.80358768931123e-05,0.0194945056099816,1.64719361893953
"ENSMUSG00000051223",-0.116793725218126,7.27704990654356,-5.05250938837124,3.93726845481726e-05,0.019603097169613,2.13281968139857
"ENSMUSG00000103857",0.203567129066299,2.8382097954352,5.01821356268383,4.28908222701667e-05,0.0207615408022201,2.01215237889546
"ENSMUSG00000023764",0.266821110725548,5.90258031659711,4.96996455956841,4.83837234874407e-05,0.0221877569866353,2.00801784995213
"ENSMUSG00000027366",-0.0999998906741036,6.36115598937422,-4.97696497587687,4.75448007467766e-05,0.0221877569866353,1.99748215164883
"ENSMUSG00000109438",0.267202063628115,3.90992793347717,4.94108233162312,5.20056098116362e-05,0.0232371732455788,1.99980486880108
"ENSMUSG00000035459",1.11946623924872,7.37139171817257,4.91313056372081,5.57707409170998e-05,0.0242965232805345,1.7912212198654
"ENSMUSG00000074212",-0.0790275673620157,7.74132433313351,-4.89214179339471,5.87773624240807e-05,0.0246506004234582,1.71903260414423
"ENSMUSG00000023484",0.696397926964903,1.76102645281451,4.88784528728089,5.94126717425251e-05,0.0246506004234582,1.54394380464654
"ENSMUSG00000039860",0.135957219356691,5.92432725177257,4.85417572675617,6.46365944037776e-05,0.0255990294109143,1.72783481140984
"ENSMUSG00000021536",-0.110860861382519,7.36019966804506,-4.86286078408743,6.32464067495779e-05,0.0255990294109143,1.66723573540627
"ENSMUSG00000002324",-0.883655604077525,-0.550784821384251,-4.84279778209808,6.65044466470881e-05,0.0257534774949368,-0.27098763860442
"ENSMUSG00000024026",0.200109807016174,6.06904941881507,4.79444595689277,7.50671210495447e-05,0.0284373837262906,1.57539769961569
"ENSMUSG00000047676",0.34593079971904,6.0229007713082,4.74721681295641,8.45004075301236e-05,0.0298262537116805,1.46477872335419
"ENSMUSG00000031591",-0.143758505069244,5.84286673228732,-4.74215431788458,8.55797478241721e-05,0.0298262537116805,1.46366148281146
"ENSMUSG00000045589",-0.164264164076784,8.79513402605112,-4.74737401312756,8.44671117043471e-05,0.0298262537116805,1.30538919122687
"ENSMUSG00000110086",0.418559783170619,2.18554004184681,4.74997560862792,8.39179897173486e-05,0.0298262537116805,1.24022535699878
"ENSMUSG00000069919",0.594300892276986,3.93848112735937,4.67655449575842,0.000100884282594828,0.034470774676421,1.39695315333711
"ENSMUSG00000028681",0.454018008820936,2.24548439952049,4.65311667501691,0.000106994760453217,0.0358555903011107,1.12010816555296
"ENSMUSG00000070003",0.167548961418285,6.37919368615957,4.63230128765228,0.000112732136107072,0.037065475543431,1.16597742268641
"ENSMUSG00000095597",0.292365571538199,5.874270330236,4.61639117533293,0.000117324626969449,0.0371432986681672,1.15924565209378
"ENSMUSG00000028961",0.213363993752489,5.09170771330808,4.57536410443335,0.000130051219177818,0.0371432986681672,1.11642902339756
"ENSMUSG00000021091",0.375617453404293,5.83454120089024,4.58694317576988,0.000126325398869571,0.0371432986681672,1.09496350247349
"ENSMUSG00000038517",0.169533470422728,5.11279480298519,4.56557440207251,0.000133287023498616,0.0371432986681672,1.08959760539714
"ENSMUSG00000106404",-0.263060984958799,3.89548024323454,-4.54125230350592,0.000141679587300437,0.0371432986681672,1.08589646597365
"ENSMUSG00000021785",-0.11828570877145,5.15690902311934,-4.55121835187572,0.000138178543635048,0.0371432986681672,1.05442663769926
"ENSMUSG00000097554",1.13068955066008,3.35501069580359,4.53808804391029,0.000142809652861655,0.0371432986681672,1.04734486214773
"ENSMUSG00000030237",-0.184602282625174,6.01532475404988,-4.57177759588311,0.000131227437469882,0.0371432986681672,1.04148170843066
